"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0040091",1618.73568610441,-1.56678164062744,0.11943806310488,-13.1179424707484,2.59895608495752e-39,1.14039457264689e-36
"FBgn0040099",1270.85925918718,-1.77929795492169,0.135870245634395,-13.0955673673359,3.49056173328325e-39,1.45504065851912e-36
"FBgn0001226",1767.21859250606,1.68121608261122,0.128689098170143,13.06416865544,5.27578217405207e-39,2.09448552309867e-36
"FBgn0262733",552.44815469227,2.08084724044762,0.161423616142563,12.8905998401739,5.08467773382329e-38,1.92686173940385e-35
"FBgn0051092",230.837394491924,2.24486258334325,0.175432242103537,12.7961802028294,1.72216097342964e-37,6.24245914586214e-35
"FBgn0052407",285.705526899151,-2.09984086937853,0.164751261712575,-12.745522234858,3.30172391447985e-37,1.14693634479244e-34
"FBgn0023479",4589.0667432429,-1.53865426830784,0.122411720041214,-12.569501251921,3.10677599367394e-36,1.03604765837039e-33
"FBgn0039419",2683.75864128436,-1.15987787780074,0.094468953499739,-12.2778736805203,1.1908709194878e-34,3.81857340606531e-32
"FBgn0034010",782.462485475385,-1.45819189071753,0.122784689795566,-11.8760074496697,1.57722385555993e-32,4.74429751835051e-30
"FBgn0031150",1191.84745584593,1.25461586297301,0.105650482362412,11.8751550860819,1.59338287769958e-32,4.74429751835051e-30
